path	variant	rule
test/language/block-scope/syntax/redeclaration/class-name-redeclaration-attempt-with-function.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/class-name-redeclaration-attempt-with-let.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/class-name-redeclaration-attempt-with-let.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/class-name-redeclaration-attempt-with-var.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/class-name-redeclaration-attempt-with-var.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/const-name-redeclaration-attempt-with-async-function.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/const-name-redeclaration-attempt-with-async-function.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/const-name-redeclaration-attempt-with-async-generator.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/const-name-redeclaration-attempt-with-async-generator.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/const-name-redeclaration-attempt-with-const.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/const-name-redeclaration-attempt-with-const.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/const-name-redeclaration-attempt-with-function.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/const-name-redeclaration-attempt-with-function.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/const-name-redeclaration-attempt-with-let.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/const-name-redeclaration-attempt-with-let.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/const-name-redeclaration-attempt-with-var.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/const-name-redeclaration-attempt-with-var.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/fn-scope-var-name-redeclaration-attempt-with-async-function.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/fn-scope-var-name-redeclaration-attempt-with-async-function.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/fn-scope-var-name-redeclaration-attempt-with-async-generator.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/fn-scope-var-name-redeclaration-attempt-with-async-generator.js	strict	lexical-binding.duplicate-declaration
